id_pregunta;texto;id_tarjeta
1;¿Cuál es el planeta más cercano al sol?;1
2;¿Qué gas es el principal componente de la atmósfera terrestre?;2
3;¿Qué físico introdujo la noción de "espaciotiempo" como un continuo cuatridimensional en el que ocurren los eventos físicos?;3
4;¿En qué año llegó Cristóbal Colón a América por primera vez?;4
5;¿En qué año comenzó la Revolución Francesa?;5
6;¿Quién fue el líder militar que dirigió el Imperio Mongol durante su apogeo?;6
7;¿Cuál es el río más largo del mundo?;7
8;¿Cuál es el mar más grande del mundo?;8
9;¿En qué país se encuentra el desierto de Atacama?;9
10;¿En qué deporte se utiliza una pelota y una raqueta?;10
11;¿Qué atleta es conocido como el "Relámpago de Jamaica" y ha ganado múltiples medallas olímpicas?;11
12;¿Cuál fue el primer club de fútbol en ganar la Liga de Campeones de la UEFA bajo su nombre actual?;12
13;¿Quién pinto la mona lisa?;13
14;¿Qué pintor es conocido por su estilo surrealista y su famoso cuadro "La persistencia de la memoria"?;14
15;¿Quién fue el autor de "En busca del tiempo perdido", una de las obras más importantes de la literatura francesa?;15
16;;16
17;;17
18;;18
19;;19
20;;20
21;;21
22;¿Cuál es el valor de 92?;22
23;Si un triángulo tiene un ángulo de 90° y los otros dos ángulos miden 45° cada uno, ¿cómo se llama este triángulo?;23
24;¿Cuál es el valor de la expresión 2/5×3/4?;24
25;;25
26;;26
27;;27
28;¿Quién es conocido como el "Rey del Pop"?;28
29;¿Qué banda lanzó el álbum "The Dark Side of the Moon" en 1973?;29
30;¿Cuál de las siguientes obras fue compuesta por Igor Stravinsky?;30
31;;1
32;;2
33;;3
34;;4
35;;5
36;;6
37;;7
38;;8
39;;9
40;;10
41;;11
42;;12
43;;13
44;;14
45;;15
46;;16
47;;17
48;;18
49;;19
50;;20
51;;21
52;;22
53;;23
54;;24
55;;25
56;;26
57;;27
58;¿Qué instrumento musical tiene teclas blancas y negras?;28
59;¿Cuál de estos géneros musicales es originario de Jamaica?;29
60;¿Quién fue el compositor de la famosa ópera "La Traviata"?;30
61;;1
62;;2
63;;3
64;;4
65;;5
66;;6
67;;7
68;;8
69;;9
70;;10
71;;11
72;;12
73;;13
74;;14
75;;15
76;;16
77;;17
78;;18
79;;19
80;;20
81;;21
82;;22
83;;23
84;;24
85;;25
86;;26
87;;27
88;¿Qué instrumento musical se toca soplando aire a través de una lengüeta?;28
89;¿Quién fue el cantante principal de la banda de rock Nirvana?;29
90;¿Qué compositor alemán compuso "El Anillo del Nibelungo"?;30
91;;1
92;;2
93;;3
94;;4
95;;5
96;;6
97;;7
98;;8
99;;9
100;;10
101;;11
102;;12
103;;13
104;;14
105;;15
106;;16
107;;17
108;;18
109;;19
110;;20
111;;21
112;;22
113;;23
114;;24
115;;25
116;;26
117;;27
118;;28
119;;29
120;;30
121;;1
122;;2
123;;3
124;;4
125;;5
126;;6
127;;7
128;;8
129;;9
130;;10
131;;11
132;;12
133;;13
134;;14
135;;15
136;;16
137;;17
138;;18
139;;19
140;;20
141;;21
142;;22
143;;23
144;;24
145;;25
146;;26
147;;27
148;;28
149;;29
150;;30
151;;1
152;;2
153;;3
154;;4
155;;5
156;;6
157;;7
158;;8
159;;9
160;;10
161;;11
162;;12
163;;13
164;;14
165;;15
166;;16
167;;17
168;;18
169;;19
170;;20
171;;21
172;;22
173;;23
174;;24
175;;25
176;;26
177;;27
178;;28
179;;29
180;;30
181;;1
182;;2
183;;3
184;;4
185;;5
186;;6
187;;7
188;;8
189;;9
190;;10
191;;11
192;;12
193;;13
194;;14
195;;15
196;;16
197;;17
198;;18
199;;19
200;;20
